,SMILES,True
180,CN(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN2CCC(C(N)=O)CC2)cc1,0.29
181,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1,2.44e-08
182,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,0.011
183,O=C(OC1C[N+]2(CC(O)=Nc3ncco3)CCC1CC2)C1(C2=CC=CC2)CCCCCC1,0.15
184,COc1cccc(OC)c1-c1nc(C(O)=NC(CC(C)C)C(=O)O)cn1-c1ccnc2cc(Cl)ccc12,0.5
185,CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,0.011
186,CN=C(O)N1CCN(Cc2ccnc(N=c3[nH]cc(C#N)s3)c2)CC1,0.1259999999999999
187,Cc1nc(C2CCN(C(=O)C3CC(C)(N(C)C)CC3c3ccc(F)cc3F)CC2)n(-c2ccc(F)c(Cl)c2)n1,0.3199999999999999
188,CC(=O)CCC(C)=O,0.93
189,OC(=NCC1(N2CCOCC2)CCCC1)N1CCC(c2nc(-c3ccc4ccccc4n3)no2)CC1,0.967
190,Cc1n[nH]c(=O)cc1-c1ccc(OC2CCN(C3CCC3)CC2)cc1,0.42
191,COc1c(F)cccc1C1CCN(c2ccn3c(CC(F)(F)F)nnc3c2C#N)CC1,0.047
192,O=S(=O)(Nc1ccccc1Cl)c1ccc(N=C(O)c2nccs2)cc1,0.0009999999999999
193,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.4196190442857142
194,Cc1ccc(C(=O)N(CCCN)C(c2oc3cc(Cl)ccc3c(=O)c2Cc2ccccc2)C(C)C)cc1,0.2229999999999999
195,NC(=O)N1c2ccccc2CC(=NO)c2ccccc21,0.4856
196,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,0.02
197,CCCSc1nc(N2CCCC(CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,0.008
198,CN1CCN(c2ccc(C3CC(c4ccc([N+](=O)[O-])o4)=NO3)cn2)C(=O)C1,0.511
199,CCc1ccc(Cc2ccc3c(c2)C2(OC3)OC(CO)C(O)C(O)C2O)cc1,0.46
200,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],0.9819966766666668
201,COc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,0.0799799999999999
